seed,module,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
42,GAT,0.63443784842998,4.922107205390181,0.2106814319011654,1.0083413124084473,0.6073344000033103,1.9896043000044301,2.5969387000077404,2 5 8 10 27 28 39 54 63 67 73 75
42,GCN,0.6965443262021451,4.514896464895341,0.23019526828471537,1.0078635215759277,0.508049399999436,0.7281001000083052,1.2361495000077412,12 18 20 23 46 49 61 64 67 71 73 75
42,GraphSAGE,0.7031495751990245,4.313708894009776,0.2535763145213994,1.0091311931610107,0.5334810000204016,0.7632098999747541,1.2966908999951556,8 18 19 23 24 30 51 61 67 69 73 78
42,MLP+fixed diffusion,0.7087232858761064,4.414136466921539,0.257195405589408,1.0084141492843628,0.5271231999795418,0.8498706000100356,1.3769937999895774,5 18 20 23 24 51 61 67 71 73 74 76
1001,GAT,0.72214179030811,4.346675450804221,0.24577990450104326,1.0358082056045532,0.5822865000227466,0.7211060000117868,1.3033925000345334,2 5 18 20 23 46 61 67 71 73 74 75
1001,GCN,0.7154418629784244,4.381300319953172,0.24612310514590052,1.0351899862289429,0.5741433000075631,0.8075024000136182,1.3816457000211813,5 18 20 23 28 46 61 64 67 73 74 75
1001,GraphSAGE,0.7173641430595329,4.404666551913988,0.23812276654060016,1.0364041328430176,0.4936308999895118,0.896432499983348,1.3900633999728598,2 13 18 20 23 46 61 64 66 67 71 75
1001,MLP+fixed diffusion,0.7154418629784244,4.381300319953172,0.24612310514590052,1.038509726524353,0.6182315000041854,0.7056475999997929,1.3238791000039782,5 18 20 23 28 46 61 64 67 73 74 75
1002,GAT,0.7240062055509892,4.479727414711247,0.2255276173959706,1.021757960319519,0.6256080000021029,0.7188918000028934,1.3444998000049964,2 13 20 27 45 50 57 61 63 67 71 75
1002,GCN,0.7098535374470972,4.502711165244644,0.24276280636845815,1.0213905572891235,0.5012657000042964,0.7208626000210643,1.2221283000253607,1 2 15 18 20 39 61 63 64 66 73 74
1002,GraphSAGE,0.6922284402851191,4.549532166826189,0.247890912901777,1.02130126953125,0.5515321000129916,0.7297765999974217,1.2813087000104133,18 20 23 37 39 46 64 66 67 73 74 75
1002,MLP+fixed diffusion,0.7231602060345454,4.504470930377293,0.24510894742364153,1.0213879346847534,0.5209767000051215,0.6928002999920864,1.213776999997208,2 15 18 20 23 46 50 61 67 71 74 75
1003,GAT,0.6867712809969823,4.576462702948137,0.25961859900069073,1.0113000869750977,0.5612098000128753,0.6962572000047658,1.2574670000176411,1 20 27 35 49 51 58 63 64 66 67 74
1003,GCN,0.6978712988431047,4.539827125037386,0.23573910268906617,1.0124704837799072,0.5660326000070199,0.9213967999967281,1.487429400003748,1 2 20 27 35 37 50 61 63 66 74 75
