method,dhv,digd,both_better,both_worse,cities_better
context_only,0.0004528466516956249,-0.00029052447999920375,0.3640625,0.35625,6
confidence_inverted,-0.016733742807944763,0.0008107348013916629,0.4203125,0.359375,5
graph_then_diversity,-0.0005761390804592595,0.0005887707727728778,0.371875,0.434375,6
diversity_then_graph,-0.15825217205786807,0.027819277474109082,0.1515625,0.7109375,0
weight_01,-0.003505453199063601,0.0005235363712597166,0.3921875,0.421875,6
weight_10,-0.0015509321534667344,0.0016860717917077431,0.35625,0.390625,3
