module,metric,mean_delta_vs_gat,ci_low,ci_high,wilcoxon_statistic,wilcoxon_p,holm_p_across_9_tests,holm_p_within_module
GCN,coverage,0.010345169345358056,-0.0003317773343060587,0.021366904527314882,155.0,0.11417667381465435,0.9134133905172348,0.34253002144396305
GCN,mean_distance,-0.022390040550165788,-0.08865758345048043,0.04352501409123049,210.0,0.6554384250193834,1.0,1.0
GCN,gini,-0.001156303718730319,-0.008442715428679217,0.006489427352905854,210.0,0.6554384250193834,1.0,1.0
GraphSAGE,coverage,0.010308949757692632,-0.002892590399415568,0.023768548293401092,125.0,0.12414646305025409,0.9134133905172348,0.37243938915076225
GraphSAGE,mean_distance,-0.04442905052004216,-0.12076399319471996,0.03007027688195793,146.0,0.3015688217495123,1.0,0.6031376434990245
GraphSAGE,gini,0.002866983522863262,-0.004434355092687546,0.010487433833400384,171.0,0.6654143977847693,1.0,0.6654143977847693
MLP+fixed diffusion,coverage,0.013509621700623269,0.001576647408126563,0.025822297385159097,125.0,0.045484489171984846,0.4093604025478636,0.13645346751595455
MLP+fixed diffusion,mean_distance,-0.006630214399490342,-0.07265308414004411,0.05510844836252028,213.0,0.9224846577154711,1.0,1.0
MLP+fixed diffusion,gini,0.0021465054110490463,-0.004039715437366622,0.008762666846044532,203.0,0.7538731576897046,1.0,1.0
