module,coverage_mean,coverage_sd,distance_mean,distance_sd,gini_mean,gini_sd,train_seconds_mean,total_seconds_mean
GAT,0.7108383717480677,0.030313818206210496,4.515082626547769,0.17557411131777342,0.24455955852015537,0.017561962147864964,0.5802521566685754,1.3826441600035955
GCN,0.7211835410934259,0.024229873243781647,4.492692585997603,0.1288939699268345,0.24340325480142508,0.014767925065649475,0.531306059998072,1.2852506899973377
GraphSAGE,0.7211473215057604,0.024111125544924943,4.470653576027727,0.13981053044445918,0.24742654204301867,0.015112962436818677,0.5546961333340732,1.3087862666657506
MLP+fixed diffusion,0.7243479934486909,0.019226740052808656,4.508452412148278,0.1102649521910377,0.24670606393120442,0.014000720653078981,0.5314564233306253,1.2579772733355639
