seed,method,coverage,mean_distance,gini,selected_indices,gat_train_s,nsga_search_s,total_s
1012,plain NSGA-II,0.7457797042453195,4.144216695171666,0.2673263841020532,5 13 17 18 19 20 23 28 46 51 61 64,0.0,0.6781588000012562,0.6781588000012562
1012,GAT-guided NSGA-II,0.7611290012346672,4.527449142167796,0.23737319109968458,2 5 20 27 37 39 45 61 63 73 74 75,0.44849389998125844,0.5872291999985464,1.0357230999798048
1013,plain NSGA-II,0.7562857712520953,4.536720057202026,0.25711318653467696,2 5 7 10 19 20 23 27 28 53 61 63,0.0,0.6877584999892861,0.6877584999892861
1013,GAT-guided NSGA-II,0.6961272706810394,4.508743368491631,0.23424266784103853,1 2 5 7 12 18 20 61 63 71 73 75,0.5744536999845877,0.6119956000184175,1.1864493000030052
1014,plain NSGA-II,0.6842048589476372,4.71927704126443,0.21777200838641853,2 5 8 10 23 27 37 61 63 67 73 75,0.0,0.6770396000065375,0.6770396000065375
1014,GAT-guided NSGA-II,0.7067510635054549,4.669940083820781,0.23738987585930993,2 6 20 28 36 45 57 61 63 64 67 75,0.371630899986485,0.6821602999989409,1.053791199985426
1015,plain NSGA-II,0.7176634541581879,4.331787431408682,0.25122360370479024,2 5 18 20 23 46 61 63 71 73 74 75,0.0,0.6233718000003137,0.6233718000003137
1015,GAT-guided NSGA-II,0.7081603073958813,4.283692771941028,0.2832892641972313,0 5 7 15 18 20 23 50 51 63 69 74,0.5574936999764759,0.7003142999892589,1.2578079999657348
1016,plain NSGA-II,0.7330622368440084,4.493556522180132,0.23267499371751654,2 20 27 30 39 45 61 63 71 73 74 75,0.0,0.6105944000009913,0.6105944000009913
1016,GAT-guided NSGA-II,0.762502679703255,4.549005340687211,0.26063128704564753,2 5 20 36 39 45 63 70 71 72 73 74,0.43091890000505373,0.7974132999952417,1.2283322000002954
1017,plain NSGA-II,0.739503590634337,4.558890564779685,0.24208095504538973,10 13 20 27 28 49 57 61 62 63 73 75,0.0,0.7112464999954682,0.7112464999954682
1017,GAT-guided NSGA-II,0.7480179785141519,4.516083891677827,0.2461670328591744,5 10 20 23 27 28 51 61 63 72 73 74,0.47599979999358766,0.709646100003738,1.1856458999973256
1018,plain NSGA-II,0.7055042783751296,4.501954352466237,0.24001902404396247,2 8 25 27 28 45 57 61 63 73 75 78,0.0,0.6719621999945957,0.6719621999945957
1018,GAT-guided NSGA-II,0.747739036582746,4.4305357391255225,0.25845465905787135,0 2 18 20 39 61 63 64 66 67 75 78,0.4934977999946568,0.6163421999954153,1.109839999990072
1019,plain NSGA-II,0.6874334021894546,4.533497064025935,0.2394370963356487,2 8 27 39 44 45 46 50 61 66 74 75,0.0,0.6703208000108134,0.6703208000108134
1019,GAT-guided NSGA-II,0.7524795106437336,4.521685709567713,0.24208770599403628,5 20 27 28 39 45 58 61 63 64 74 75,0.48923229999491014,0.6062951000058092,1.0955274000007194
1020,plain NSGA-II,0.7468082161825271,4.550990042657684,0.25280586374528313,2 13 20 28 36 39 45 46 61 63 73 75,0.0,0.682578799984185,0.682578799984185
1020,GAT-guided NSGA-II,0.7159487634574772,4.425835705634184,0.2452450838057817,2 20 23 27 35 46 61 66 67 73 74 75,0.5045626000210177,0.6263221999979578,1.1308848000189755
1021,plain NSGA-II,0.7382061810380655,4.410403241994754,0.2705171156981816,2 13 20 23 27 35 46 61 66 67 72 75,0.0,0.7165478999959305,0.7165478999959305
1021,GAT-guided NSGA-II,0.7179713436251175,4.409425965481489,0.25718393524982675,2 9 20 23 27 35 46 61 71 72 73 74,0.5105657999811228,0.6151251999835949,1.1256909999647178
1022,plain NSGA-II,0.6967580350149628,4.627924530765311,0.24310273430502727,13 20 23 28 36 46 49 50 51 61 64 67,0.0,0.6607997000101022,0.6607997000101022
1022,GAT-guided NSGA-II,0.7252197035736238,4.24820973593336,0.2633596862453219,17 19 20 23 27 35 46 51 61 71 73 78,0.44577209997805767,0.6933615000161808,1.1391335999942385
1023,plain NSGA-II,0.7492239694955457,4.624656219491455,0.2303766579505172,2 5 20 27 37 39 45 61 63 67 73 75,0.0,0.6988918000133708,0.6988918000133708
1023,GAT-guided NSGA-II,0.7206169446493004,4.407797013364582,0.26503250594757854,0 2 18 25 39 52 61 63 64 66 74 75,0.6422286000160966,0.8005089999933261,1.4427376000094227
1024,plain NSGA-II,0.726702772904521,4.489082574907915,0.2490231850788136,2 5 19 20 23 27 45 50 61 63 71 75,0.0,0.6909605999826454,0.6909605999826454
1024,GAT-guided NSGA-II,0.7110479802672598,4.621544744098069,0.23429261394794065,10 20 23 27 30 49 61 63 71 73 74 75,0.5068712000211235,0.6117709999962244,1.118642200017348
1025,plain NSGA-II,0.7269196414344077,4.533342581604162,0.24240121022296957,2 12 17 20 36 39 45 46 61 66 73 75,0.0,0.6805053999996744,0.6805053999996744
1025,GAT-guided NSGA-II,0.6846113368584855,4.620063461367347,0.23173541259088848,10 23 27 34 51 57 60 61 63 64 71 74,0.4861308999825269,0.6500596000114456,1.1361904999939725
1026,plain NSGA-II,0.7471498043885907,4.476261666558347,0.2423725934030544,1 2 18 20 39 61 63 64 66 67 74 75,0.0,0.635408699978143,0.635408699978143
1026,GAT-guided NSGA-II,0.7006472568011992,4.256050567018956,0.2708797512099642,17 18 19 24 28 51 57 60 61 62 64 74,0.542488900013268,0.605578200018499,1.148067100031767
1027,plain NSGA-II,0.7658655124709105,4.54659487104079,0.24287281461830468,2 5 20 36 39 45 61 63 71 73 74 75,0.0,0.7039743000059389,0.7039743000059389
1027,GAT-guided NSGA-II,0.720139318840365,4.316067246481477,0.2501592882668179,5 18 20 23 27 46 51 61 67 71 73 74,0.4690767000138294,0.6112747000006493,1.0803514000144787
1028,plain NSGA-II,0.7250884481823807,4.4216828086776925,0.24180226013008677,2 18 20 23 46 49 61 66 67 73 74 75,0.0,0.6892113999929279,0.6892113999929279
1028,GAT-guided NSGA-II,0.6971168156167965,4.88757713087411,0.22119818797385515,2 5 7 10 20 27 37 39 50 61 63 75,0.48931189998984337,0.6501608999969903,1.1394727999868337
1029,plain NSGA-II,0.7063983821808292,4.468767608318101,0.242971513563222,18 20 23 46 50 57 61 64 67 71 75 78,0.0,0.6296034999832045,0.6296034999832045
1029,GAT-guided NSGA-II,0.704654766425408,4.733908544609095,0.23236586359946865,2 5 10 23 25 27 37 50 61 63 67 75,0.4777571000158787,0.6671970000024885,1.1449541000183672
