seed,method,coverage,mean_distance,gini,selected_indices,gat_train_s,nsga_search_s,total_s
42,plain NSGA-II,0.744089046309225,4.23607330474268,0.26019052118252617,5 13 18 19 20 23 46 51 61 67 71 73,0.0,1.870088499999838,1.870088499999838
42,GAT-guided NSGA-II,0.63443784842998,4.922107205390181,0.2106814319011654,2 5 8 10 27 28 39 54 63 67 73 75,1.4727802000124939,0.6092673999955878,2.0820476000080816
1001,plain NSGA-II,0.7657426773070485,4.456701607481004,0.25893136767751246,2 20 36 39 45 46 61 64 66 67 72 74,0.0,0.6384409999882337,0.6384409999882337
1001,GAT-guided NSGA-II,0.72214179030811,4.346675450804221,0.24577990450104326,2 5 18 20 23 46 61 67 71 73 74 75,0.489979800011497,0.5837103000085335,1.0736901000200305
1002,plain NSGA-II,0.7318167943608775,4.564880126254396,0.2602289304200204,2 10 20 23 27 28 35 57 61 63 75 78,0.0,0.6511972000007518,0.6511972000007518
1002,GAT-guided NSGA-II,0.7240062055509892,4.479727414711247,0.2255276173959706,2 13 20 27 45 50 57 61 63 67 71 75,0.4501385999901686,0.8423061000066809,1.2924446999968495
1003,plain NSGA-II,0.7248300994511568,4.4512985936245055,0.241972837788626,2 18 20 23 28 46 50 57 61 67 74 75,0.0,0.6106251000019256,0.6106251000019256
1003,GAT-guided NSGA-II,0.6867712809969823,4.576462702948137,0.25961859900069073,1 20 27 35 49 51 58 63 64 66 67 74,0.4367342999903485,0.5891342000104487,1.0258685000007972
1004,plain NSGA-II,0.7195374276227212,4.509932026261862,0.22955012053432644,2 13 20 27 37 45 57 61 63 66 73 75,0.0,0.6336349000048358,0.6336349000048358
1004,GAT-guided NSGA-II,0.702773933212017,4.589482534154308,0.23137524444145863,2 20 23 27 28 30 45 50 61 63 67 75,0.48788580001564696,0.6694107000075746,1.1572965000232216
1005,plain NSGA-II,0.7244216804383599,4.265360764691099,0.25767457790157144,2 5 17 18 20 23 28 46 61 64 75 78,0.0,0.6422715999942739,0.6422715999942739
1005,GAT-guided NSGA-II,0.6838081005001377,4.705539467187492,0.22757341000139597,2 12 20 23 27 28 36 46 50 61 67 75,0.4429241999750957,0.6434810000064317,1.0864051999815274
1006,plain NSGA-II,0.6728678685229356,4.744989126195121,0.23262101310172512,5 9 10 19 23 27 37 50 61 63 64 75,0.0,0.6370628000004217,0.6370628000004217
1006,GAT-guided NSGA-II,0.7194149885862934,4.37664831531078,0.25340461012359317,15 18 20 23 27 46 49 51 64 66 67 74,0.4416295000119135,0.6008230000152253,1.0424525000271387
1007,plain NSGA-II,0.7550545467205746,4.482331827962936,0.2451132541573977,5 10 19 20 23 27 51 61 63 71 73 74,0.0,0.7033053000050131,0.7033053000050131
1007,GAT-guided NSGA-II,0.692817502710374,4.4222969193421955,0.24447633230984256,9 18 20 23 24 30 51 61 67 71 73 74,0.4976384000037797,0.6814218999934383,1.179060299997218
1008,plain NSGA-II,0.7024725670569463,4.579735906960488,0.2355817792330166,2 5 10 12 18 20 23 61 63 69 73 75,0.0,0.6645282999961637,0.6645282999961637
1008,GAT-guided NSGA-II,0.7161922384175025,4.337252229619186,0.27673656791467927,0 14 18 20 23 49 51 63 66 67 73 74,0.5093349999806378,0.6313025999988895,1.1406375999795273
1009,plain NSGA-II,0.7464324470626439,4.449852397931282,0.2477521470102274,1 2 13 18 20 39 61 63 66 71 72 73,0.0,0.666258100012783,0.666258100012783
1009,GAT-guided NSGA-II,0.7149983490904674,4.42000165419192,0.2293839228979262,2 13 18 20 23 37 46 61 66 67 73 75,0.4621233000070788,0.633263600000646,1.0953869000077248
1010,plain NSGA-II,0.7762551505704138,4.524728746901084,0.24571950155153888,2 5 20 27 39 45 61 63 67 71 74 75,0.0,0.8406766999978572,0.8406766999978572
1010,GAT-guided NSGA-II,0.7208643444492479,4.544402523278226,0.2410111135952583,2 13 20 27 39 45 56 57 63 71 73 75,0.5233070999966003,0.6728542000055313,1.1961613000021316
1011,plain NSGA-II,0.7172169743532766,4.401024645194312,0.25318310263242205,17 18 20 27 28 46 49 61 62 64 74 75,0.0,0.6464580000028946,0.6464580000028946
1011,GAT-guided NSGA-II,0.6260434918139688,4.7982662171529995,0.22012998873019995,2 10 23 25 27 30 42 50 61 67 71 75,0.5454511999851093,0.6287913999985904,1.1742425999836996
