seed,positive_negative_weight_ratio,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
42,0.1,0.7210992611962108,4.400322601941934,0.2501668357357839,0.6902031302452087,0.8236889000108931,2.0952615999849513,2.9189504999958444,13 18 20 39 46 61 62 63 66 67 73 75
42,0.3,0.7046252266367341,4.61573750879772,0.242526795983515,0.7624713182449341,0.6609141000080854,0.754955099982908,1.4158691999909934,10 20 23 27 46 51 60 61 67 71 73 74
42,1.0,0.63443784842998,4.922107205390181,0.2106814319011654,1.0083413124084473,0.6117095000226982,0.8729407000064384,1.4846502000291366,2 5 8 10 27 28 39 54 63 67 73 75
42,3.0,0.7036420422207393,4.593040198758797,0.24581659420591984,1.6841075420379639,0.661423499986995,0.7168373999884352,1.3782608999754302,10 15 20 23 27 30 49 51 63 69 73 74
42,10.0,0.6945259127369697,4.721073495183976,0.22798693741484466,4.026017189025879,0.6631367999943905,0.8236801000020932,1.4868168999964837,10 20 23 27 30 31 49 61 67 71 73 75
1001,0.1,0.7446111159108509,4.715963013579798,0.2506243547546656,0.713621199131012,0.5375094000191893,0.781591999984812,1.3191014000040013,2 5 10 13 20 27 37 49 62 63 67 75
1001,0.3,0.7116846640318848,4.437664201908485,0.2712891060808613,0.7866296172142029,0.5615919000119902,0.6652988000132609,1.2268907000252511,2 8 13 18 24 28 46 49 61 62 67 75
1001,1.0,0.72214179030811,4.346675450804221,0.24577990450104326,1.0358082056045532,0.680808100005379,0.6735531999729574,1.3543612999783363,2 5 18 20 23 46 61 67 71 73 74 75
1001,3.0,0.7094047645992295,4.48539761529715,0.2305565397760445,1.7168138027191162,0.49990570000954904,0.7008732000249438,1.2007789000344928,2 12 18 20 23 46 49 61 67 71 73 75
1001,10.0,0.7021220369135932,4.4960790168170925,0.24337667819324105,4.0624098777771,0.716535700019449,0.6587872999953106,1.3753230000147596,2 9 13 18 20 23 46 49 67 71 73 75
1002,0.1,0.7127386242497462,4.416838184084247,0.23286876908123944,0.709669291973114,0.5775187000108417,0.6948937000124715,1.2724124000233132,2 13 18 20 23 46 61 66 67 71 73 75
1002,0.3,0.7050619226366578,4.22799268764062,0.2535289181958872,0.7814069390296936,0.5991216000111308,0.6538216999906581,1.2529433000017889,5 18 19 23 25 46 51 52 61 67 71 73
1002,1.0,0.7240062055509892,4.479727414711247,0.2255276173959706,1.021757960319519,0.6149947999801952,0.6490459999768063,1.2640407999570016,2 13 20 27 45 50 57 61 63 67 71 75
1002,3.0,0.7336654435768305,4.560894056828853,0.23714999640286827,1.6929810047149658,0.5188815000001341,0.6208448999968823,1.1397263999970164,13 20 23 27 45 57 61 63 66 67 73 75
1002,10.0,0.7542681050801616,4.400023288891562,0.2597629341276335,4.034292221069336,0.5643090000085067,0.7274443000205792,1.291753300029086,2 20 27 39 45 46 61 63 64 66 72 74
1003,0.1,0.7739280204994194,4.374274885864097,0.24713361949411305,0.6988943219184875,0.5278596999996807,0.7029685000015888,1.2308282000012696,2 20 27 28 39 45 57 61 63 72 73 74
1003,0.3,0.7176903187300795,4.7306828102405625,0.2192026801368414,0.7702658176422119,0.6479919999837875,0.6228528000065126,1.2708447999903,2 10 20 23 27 57 61 63 67 71 73 75
1003,1.0,0.6867712809969823,4.576462702948137,0.25961859900069073,1.0113000869750977,0.5590963000140619,0.6917140000150539,1.2508103000291158,1 20 27 35 49 51 58 63 64 66 67 74
1003,3.0,0.685337296583921,4.647764510042654,0.22043858024538598,1.6855603456497192,0.5805577999853995,0.631794400018407,1.2123522000038065,1 2 18 20 27 37 61 63 66 67 73 75
1003,10.0,0.6958427984695624,4.48763548487587,0.2549517952719982,4.028444766998291,0.5284260000044014,0.7335826999915298,1.2620086999959312,13 20 23 24 27 35 51 57 61 67 71 73
1004,0.1,0.7284452010528397,4.443339756824174,0.2431014318277751,0.7067173719406128,0.48074920001090504,0.6394905999768525,1.1202397999877576,2 17 20 27 39 45 46 61 71 73 74 75
1004,0.3,0.6829416457691939,4.518375681861886,0.22010264365300458,0.7767800688743591,0.5906334999890532,0.6671263999887742,1.2577598999778274,2 8 27 45 57 61 63 67 71 73 74 75
1004,1.0,0.702773933212017,4.589482534154308,0.23137524444145863,1.014937162399292,0.502952999988338,0.8900689999863971,1.393021999974735,2 20 23 27 28 30 45 50 61 63 67 75
1004,3.0,0.7211872076882347,4.575873701751044,0.2542829446723901,1.6913647651672363,0.6095188000181224,0.6533897000190336,1.262908500037156,10 20 27 28 46 49 51 61 62 63 73 74
1004,10.0,0.6956866606940005,4.705452461176015,0.21599525070337822,4.0354719161987305,0.6328469000000041,0.6361872999987099,1.269034199998714,10 12 20 23 27 30 61 63 67 71 73 75
1005,0.1,0.7572840635498265,4.499484068506164,0.24884442251995598,0.7022997736930847,0.5099648000032175,0.6412371000042185,1.151201900007436,1 2 7 18 20 39 61 63 66 67 74 75
1005,0.3,0.7599806301281581,4.462689567513399,0.250716964281249,0.7693565487861633,0.5671107999805827,0.6849663000029977,1.2520770999835804,2 20 23 27 45 57 61 63 67 71 72 74
1005,1.0,0.6838081005001377,4.705539467187492,0.22757341000139597,1.0051116943359375,0.5346932000247762,0.6594298999989405,1.1941231000237167,2 12 20 23 27 28 36 46 50 61 67 75
1005,3.0,0.697828041107116,4.486594462540285,0.22850786551191193,1.6757171154022217,0.6369771999889053,0.6556641999923158,1.2926413999812212,2 12 18 20 23 37 46 61 63 66 73 75
1005,10.0,0.727699284566799,4.513833351698019,0.23668845318399834,4.0209760665893555,0.4743733999785036,0.7048951000033412,1.1792684999818448,2 15 20 27 45 50 57 61 63 71 74 75
1006,0.1,0.7272204502203488,4.351058947924187,0.2432663417798614,0.6961097717285156,0.5603344999835826,0.6008771999913733,1.161211699974956,9 15 18 20 23 46 51 61 64 66 67 74
1006,0.3,0.6828324479317989,4.561775880631343,0.23428109299027933,0.7633288502693176,0.5537834000133444,0.7691661999851931,1.3229495999985375,5 8 10 15 23 27 28 51 63 64 73 74
1006,1.0,0.7194149885862934,4.37664831531078,0.25340461012359317,1.0001235008239746,0.5772136999876238,0.636594999989029,1.2138086999766529,15 18 20 23 27 46 49 51 64 66 67 74
1006,3.0,0.7181979075871394,4.614818673586962,0.2351857987062521,1.671902060508728,0.6165396000142209,0.6287830999935977,1.2453227000078186,2 5 20 27 45 49 50 63 67 71 74 75
1006,10.0,0.7169828676907927,4.6018294958988,0.23494106002740422,4.012453079223633,0.5238124000024982,0.6568099000141956,1.1806223000166938,10 13 20 23 27 30 51 61 63 64 67 71
1007,0.1,0.7357671407032716,4.338935314046245,0.24275095280723025,0.7308000326156616,0.5856076999916695,0.8233318999991752,1.4089395999908447,18 19 20 23 37 46 51 61 66 67 73 74
1007,0.3,0.706566282072949,4.330960445602541,0.23977404868573804,0.8040428757667542,0.5167433999886271,0.6696104999864474,1.1863538999750745,7 17 18 20 23 37 46 51 61 66 73 74
1007,1.0,0.692817502710374,4.4222969193421955,0.24447633230984256,1.0529582500457764,0.660560100019211,0.6201561999914702,1.2807163000106812,9 18 20 23 24 30 51 61 67 71 73 74
1007,3.0,0.6822879951921323,4.376182873632584,0.24781190815678478,1.7286592721939087,0.5288900999876205,0.6102397000067867,1.1391297999944072,8 23 24 27 30 35 51 61 67 71 73 74
1007,10.0,0.734280439558226,4.48068362661868,0.23327016589606364,4.071420192718506,0.5311845999967773,0.601122399995802,1.1323069999925792,2 13 20 27 30 39 45 50 61 63 71 75
1008,0.1,0.6893447992313255,4.517364089997583,0.2471439706252787,0.7084615230560303,0.5451822000031825,0.6857887000078335,1.230970900011016,15 20 27 28 30 39 45 62 63 64 67 74
1008,0.3,0.7155652756666282,4.488666588245979,0.23080926892313147,0.778387725353241,0.4843894000223372,0.6150107000139542,1.0994001000362914,2 12 18 20 23 28 46 49 61 67 73 75
1008,1.0,0.7161922384175025,4.337252229619186,0.27673656791467927,1.0225962400436401,0.508348900009878,0.6560587999993004,1.1644077000091784,0 14 18 20 23 49 51 63 66 67 73 74
1008,3.0,0.7194115622002666,4.540063491565064,0.2417458738647299,1.6993008852005005,0.4976874999993015,0.661333600000944,1.1590211000002455,1 2 15 18 20 37 39 55 61 63 73 74
1008,10.0,0.7280020220514808,4.406370250572531,0.25548683617622037,4.045366287231445,0.5349388000031468,0.6922575999924447,1.2271963999955915,9 18 19 20 23 28 46 51 61 73 74 76
1009,0.1,0.712970763453466,4.304112903889535,0.25589222616390295,0.717811107635498,0.5214577000006102,0.6251621000119485,1.1466198000125587,14 17 18 20 23 27 46 51 61 64 69 74
1009,0.3,0.6939244912908039,4.664078779335739,0.23241246368490132,0.7866451740264893,0.6156818000017665,0.6226170000154525,1.238298800017219,10 23 25 27 28 30 61 63 67 73 74 75
1009,1.0,0.7149983490904674,4.42000165419192,0.2293839228979262,1.0245213508605957,0.572356899996521,0.6706965000194032,1.2430534000159241,2 13 18 20 23 37 46 61 66 67 73 75
1009,3.0,0.7358561647239331,4.65114989821574,0.22726335928520702,1.6981090307235718,0.556828900007531,0.6513954999973066,1.2082244000048377,5 10 20 23 27 37 61 63 67 73 74 75
1009,10.0,0.7658405765977601,4.478598113882955,0.2520283564078216,4.038973331451416,0.5715527999855112,0.6868287000106648,1.258381499996176,5 10 19 20 23 27 28 51 61 63 64 74
1010,0.1,0.6994885840557963,4.461355879422125,0.22905699054246742,0.6991215348243713,0.518069200013997,0.7741540999850258,1.2922232999990229,3 9 13 18 20 23 46 61 66 67 73 75
1010,0.3,0.7074426237105415,4.511985670308351,0.23946420624646547,0.7675796747207642,0.5814912999921944,0.6273311000259127,1.2088224000181071,2 10 13 17 20 23 27 46 61 66 73 75
1010,1.0,0.7208643444492479,4.544402523278226,0.2410111135952583,1.0018404722213745,0.4793074000044726,0.6498797000094783,1.1291871000139508,2 13 20 27 39 45 56 57 63 71 73 75
1010,3.0,0.713897814053855,4.560387224228541,0.23407929387397464,1.6724387407302856,0.567927600000985,0.6797596999967936,1.2476872999977786,2 3 5 8 27 39 45 50 61 63 74 75
1010,10.0,0.7594982469140081,4.500214449512532,0.23863583550106815,4.013824939727783,0.5535190999798942,0.6291093000036199,1.182628399983514,2 5 20 27 39 45 50 61 63 71 74 75
1011,0.1,0.7330622368440084,4.474202570279868,0.2549049942572036,0.6929044723510742,0.5326989000022877,0.6366488999919966,1.1693477999942843,0 2 18 20 27 39 61 63 71 73 74 75
1011,0.3,0.6831761857687341,4.407745110639935,0.2375717782198331,0.7620631456375122,0.5640276000194717,0.6257603999983985,1.1897880000178702,7 8 13 15 18 23 46 51 61 66 67 73
1011,1.0,0.6260434918139688,4.7982662171529995,0.22012998873019995,1.0008351802825928,0.49690200001350604,0.6496092999877874,1.1465113000012934,2 10 23 25 27 30 42 50 61 67 71 75
1011,3.0,0.7147894697765066,4.440040237722531,0.25655855101178104,1.6755236387252808,0.5373106000188272,0.6676537999883294,1.2049644000071567,15 20 23 27 45 46 49 51 66 67 73 74
1011,10.0,0.685337296583921,4.647764510042654,0.22043858024538598,4.017897129058838,0.5326945999986492,0.6458206000097562,1.1785152000084054,1 2 18 20 27 37 61 63 66 67 73 75
1012,0.1,0.7206259896882511,4.596632971947259,0.23835776669031594,0.714078426361084,0.5370884999865666,0.6640794000122696,1.2011678999988362,2 3 5 15 20 27 39 45 63 67 73 74
1012,0.3,0.7550545467205746,4.3535231398694,0.2537746634707452,0.7862817049026489,0.5407768999866676,0.6160461999825202,1.1568230999691878,5 19 20 23 27 45 51 61 63 71 73 74
1012,1.0,0.7611290012346672,4.527449142167796,0.23737319109968458,1.031480312347412,0.55635749999783,0.6518332999839913,1.2081907999818213,2 5 20 27 37 39 45 61 63 73 74 75
1012,3.0,0.7505154867931317,4.544870723522013,0.25796276528912154,1.7102279663085938,0.46750260001863353,0.6851310000056401,1.1526336000242736,2 5 7 25 27 39 45 61 63 69 74 75
1012,10.0,0.7356557785061963,4.669954890450997,0.22257889532653286,4.055009841918945,0.5839589000097476,0.8336872000072617,1.4176461000170093,10 20 23 27 28 57 61 63 67 73 74 75
