method,hv,igd_plus
corrupted_2.00,0.6679571348417286,0.023816890461025288
corrupted_1.00,0.6497201071188484,0.025518579777587275
corrupted_0.25,0.642989579385496,0.02593724004310537
clean_context,0.6420624411736251,0.027181216888209438
original_acgi,0.642020676438829,0.024604696785817705
fixed_gat,0.6415914163865739,0.025931664758710338
corrupted_0.50,0.6408210312126432,0.025097422034876905
