metric,plain_mean,plain_sd,guided_mean,guided_sd,mean_delta_guided_minus_plain,sd_delta,wilcoxon_statistic,wilcoxon_p
coverage,0.7293098513238363,0.025299787341646642,0.7108383717480676,0.030313818206210503,-0.018471479575768595,0.04034208832322414,121.0,0.02084985189139843
mean_distance,4.48788383162386,0.12744505516216537,4.51508262654777,0.17557411131777356,0.02719879492390982,0.25080518263861706,229.0,0.9515264742076397
gini,0.24581374512589427,0.01171807945178398,0.2445595585201554,0.01756196214786496,-0.0012541866057388458,0.02359012406716878,219.0,0.7921590935438871
